Latitude,Longitude  ,_Time_,Route,WhichBusStop
33.77319,-84.397003,42952,Blue,
33.772991,-84.397087,43022,Blue,
33.772388,-84.395859,43052,Blue,
33.771412,-84.395531,43122,Blue,
33.77132,-84.392311,43152,Blue,
33.77132,-84.392303,43152,Blue,
33.771389,-84.392349,43158,Blue,
33.77187,-84.391998,43214,Blue,
33.7719,-84.391998,43217,Blue,
33.77187,-84.391998,43231,Blue,
33.77187,-84.391991,43232,Blue,
33.773911,-84.391968,43302,Blue,
33.77504,-84.391953,43317,Blue,
33.775059,-84.39196,43320,Blue,
33.77504,-84.391953,43326,Blue,
33.775051,-84.391937,43329,Blue,
33.77589,-84.39328,43359,Blue,
33.775848,-84.394493,43429,Blue,
33.775421,-84.395973,43459,Blue,
33.775291,-84.396141,43508,Blue,
33.775291,-84.396141,43509,Blue,
33.77528,-84.396141,43539,Blue,
33.775269,-84.396149,43807,Blue,
33.775261,-84.396149,43814,Blue,
33.775539,-84.395142,43844,Blue,
33.77594,-84.393753,43914,Blue,
33.77515,-84.392082,43943,Blue,
33.77515,-84.392082,43947,Blue,
33.775002,-84.392067,43954,Blue,
33.774971,-84.392082,43957,Blue,
33.774979,-84.392052,44007,Blue,
33.774948,-84.392036,44012,Blue,
33.77235,-84.392036,44042,Blue,
33.771709,-84.392082,44049,Blue,
33.771671,-84.39209,44052,Blue,
33.771641,-84.39209,44108,Blue,
33.771641,-84.39209,44113,Blue,
33.77137,-84.394073,44143,Blue,
33.772171,-84.3955,44213,Blue,
33.772789,-84.397011,44243,Blue,
33.773411,-84.399071,44313,Blue,
33.774231,-84.402283,44343,Blue,
33.775108,-84.40239,44405,Blue,
33.77512,-84.402397,44407,Blue,
33.77512,-84.402382,44409,Blue,
33.775108,-84.402382,44416,Blue,
33.776539,-84.402451,44446,Blue,
33.777279,-84.403229,44516,Blue,
33.777721,-84.404213,44546,Blue,
33.778229,-84.404137,44600,Blue,
33.778221,-84.404121,44602,Blue,
33.77821,-84.404121,44632,Blue,
33.77824,-84.404137,45319,Blue,
33.778252,-84.404137,45326,Blue,
33.779598,-84.404221,45356,Blue,
33.779621,-84.402977,45420,Blue,
33.779621,-84.402931,45423,Blue,
33.779621,-84.402939,45428,Blue,
33.779621,-84.402939,45438,Blue,
33.778622,-84.401573,45508,Blue,
33.776661,-84.40258,45538,Blue,
33.775169,-84.40271,45605,Blue,
33.775162,-84.402649,45618,Blue,
33.775131,-84.402657,45628,Blue,
33.77512,-84.402649,45632,Blue,
33.774521,-84.402573,45702,Blue,
33.773331,-84.398918,45732,Blue,
33.77314,-84.39698,45800,Blue,
33.773178,-84.396988,45803,Blue,
33.77317,-84.397011,45816,Blue,
33.773178,-84.397018,45818,Blue,
33.773159,-84.39724,45833,Blue,
33.773178,-84.397217,45906,Blue,
33.773178,-84.397217,45936,Blue,
33.773178,-84.397217,45945,Blue,
33.773178,-84.397217,51737,Blue,
33.77319,-84.397217,51934,Blue,
33.773178,-84.397232,51947,Blue,
33.772968,-84.397057,52009,Blue,
33.772968,-84.397057,52010,Blue,
33.772888,-84.397133,52019,Blue,
33.772881,-84.397141,52022,Blue,
33.77346,-84.399406,52052,Blue,
33.774391,-84.402428,52122,Blue,
33.775532,-84.402519,52152,Blue,
33.777271,-84.402451,52222,Blue,
33.77729,-84.403519,52252,Blue,
33.778061,-84.40419,52322,Blue,
33.778271,-84.404167,52327,Blue,
33.778271,-84.404167,52328,Blue,
33.77824,-84.404167,52344,Blue,
33.77824,-84.40416,52347,Blue,
33.779381,-84.404129,52417,Blue,
33.779709,-84.402969,52447,Blue,
33.77924,-84.402069,52517,Blue,
33.777599,-84.402344,52547,Blue,
33.77552,-84.402542,52617,Blue,
33.774391,-84.402451,52647,Blue,
33.774391,-84.402451,52648,Blue,
33.77359,-84.40007,52718,Blue,
33.7729,-84.397301,52748,Blue,
33.772911,-84.397102,52756,Blue,
33.772919,-84.397102,52757,Blue,
33.773178,-84.39695,52809,Blue,
